Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range,Unit Label
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2010/11,399.2645127,338.3151419,468.0226907,,,152.0,38070.0,,,Worse,Not compared,20100000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2011/12,324.594257178527,250.502810039748,413.728532064618,214.133640307017,469.41468586426,65.0,20025.0,,,Similar,Not compared,20110000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2011/12,237.818412429976,182.490528207917,330.310987220518,151.137116873415,382.157054370129,45.0,18922.0,,,Similar,Not compared,20110000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2011/12,282.43510411585,236.779956305777,346.02460864638,210.811239641343,381.890548600268,110.0,38947.0,,,Similar,Not compared,20110000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2012/13,556.927696256477,459.792520068125,668.512638395214,410.044688189952,736.92520849376,115.0,20649.0,,,Worse,Not compared,20120000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2012/13,359.250705671029,289.110966173211,465.349500381429,249.299545050618,524.999093928477,70.0,19485.0,,,Worse,Not compared,20120000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2012/13,460.955798076444,401.544662066766,537.72075257386,367.668653562436,581.175401274767,185.0,40134.0,,,Worse,Not compared,20120000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2013/14,351.535036325287,268.188760019402,430.221707391352,231.520699207758,485.006025422673,75.0,21335.0,,,Similar,Not compared,20130000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2013/14,249.463653145737,193.749897453131,340.230801327643,162.168009029223,391.144056868877,50.0,20043.0,,,Worse,Not compared,20130000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2013/14,302.092899608488,251.455471504549,359.932613293337,225.388130336792,395.309881400832,125.0,41378.0,,,Similar,Not compared,20130000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2014/15,370.456124102802,297.863183904792,466.204338986878,259.266743320413,522.686464041594,80.0,21595.0,,,Similar,Not compared,20140000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2014/15,196.049600548939,135.908806366224,261.313249711166,110.170176028485,306.085667322158,40.0,20403.0,,,Similar,Not compared,20140000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2014/15,285.727891804372,236.892784431683,341.663080275392,211.815545209601,375.914911482515,120.0,41998.0,,,Similar,Not compared,20140000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2015/16,463.456458265746,377.077932476841,563.692531766263,333.242303715059,625.404930074909,100.0,21577.0,,,Worse,Not compared,20150000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2015/16,219.308933183878,155.793992579665,287.876474153897,128.090987914544,334.487079005325,45.0,20519.0,,,Similar,Not compared,20150000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2015/16,344.450779171418,288.483223656713,402.733086608817,260.66842898117,439.692002737745,145.0,42096.0,,,Worse,Not compared,20150000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2016/17,464.792005577504,369.784934459459,555.109280503172,326.348118113908,616.476591923047,100.0,21515.0,,,Worse,Not compared,20160000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Female,0-9 yrs,,,2016/17,245.182170352572,173.532460748943,312.079824483284,144.043238974729,360.58037687014,50.0,20393.0,,,Similar,Not compared,20160000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2016/17,345.99599121886,294.161141712984,409.699406513544,265.998410256738,447.046614948355,145.0,41908.0,,,Worse,Not compared,20160000,,,1y,"per 100,000"
92481,Admissions for asthma (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2017/18,352.377372674309,268.831384843729,431.252590076795,232.075461266563,486.168180435666,75.0,21284.0,,,Similar,Not compared,20170000,,,1y,"per 100,000"
