Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range,Unit Label
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2010/11,18.3,7.39260060814254,37.8846213861371,,,7.0,38070.0,,,Similar,Not compared,20100000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2011/12,49.9375780274657,17.247601382015,78.7175491645109,9.84176739945251,105.648929667116,10.0,20025.0,,,Similar,Not compared,20110000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2011/12,25.6759185559863,15.9024054306597,53.8240636085365,10.2713328123475,69.5328506740966,10.0,38947.0,,,Similar,Not compared,20110000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2012/13,48.4284953266502,26.5566865148432,95.3229556692643,16.6999381974957,124.202239898094,10.0,20649.0,,,Similar,Not compared,20120000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2012/13,37.3747944386306,19.0549925250134,58.531414208837,12.8452815851966,74.5071479841857,15.0,40134.0,,,Similar,Not compared,20120000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2014/15,23.8106576503643,8.22380155423711,37.5331901999936,4.69263755831317,50.3742991710081,10.0,41998.0,,,Similar,Not compared,20140000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Male,0-9 yrs,,,2016/17,46.4792005577504,19.1279251563018,79.4088006108258,11.3986725743145,105.309659814376,10.0,21515.0,,,Similar,Not compared,20160000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2016/17,23.8617924978524,14.7788246708958,50.0211369037337,9.54561417969123,64.6200232701164,10.0,41908.0,,,Similar,Not compared,20160000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2018/19,24.5368666421298,8.47462195251749,38.6779271750541,4.83575983741962,51.9106813049687,10.0,40755.0,,,Similar,Not compared,20180000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2020/21,25.7599175682638,14.1259407481967,50.7038565588521,8.88297330860608,66.0652254419305,10.0,38820.0,,,Similar,Not compared,20200000,,,1y,"per 100,000"
92483,Admissions for diabetes (0 to 9 years),E92000001,England,E09000023,Lewisham,Persons,0-9 yrs,,,2022/23,27.6640478034746,13.2440243276739,50.8782190045271,8.06771709277328,66.9296362949003,10.0,36148.0,,No significant change,Similar,Not compared,20220000,,,1y,"per 100,000"
